comments,status
"Giao thiếu hàng ,tuy ít tiền shop không phản hồi",Xấu
quá mỏng. ,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. OK nhà  hàng nhue quảng cáo mọi người ak",Tốt
Chất lượng tuyệt vời. Giá tốt. ,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
Đóng gói kỹ lưỡng. ,Tốt
không giống hình ảnh,Xấu
Chất lượng cần tốt hơn. ,Xấu
Đẹp như mô tả. Giá tốt. ,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. dùng ok mỗi chìa khóa là ko giống hình ảnh quảng cáo thôi nhưng ko sao dùng ngon là ok rôi ,Tốt
hàng đạt chuẩn . gíao hàng nhanh ,Tốt
"Chuyên nghiệp, thân thiện. Giá tốt. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Giá tốt. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Đóng gói kỹ lưỡng. Chuyên nghiệp, thân thiện. Giá tốt. sản phẩm dúng như mô tả, chất lượng thì phải chờ thời gian sử dụng mới biết được",Tốt
"Chuyên nghiệp, thân thiện. hình ảnh chỉ mang tính chất nhận xu ",Tốt
"Chuyên nghiệp, thân thiện. ",Tốt
Đẹp như mô tả. ,Tốt
"Chuyên nghiệp, thân thiện. ",Tốt
"hướng dẫn format thẻ nhớ 64G cho mình, mình đã format trên máy tính nhưng không được đơn hàng: 14467952296 phụ kiện công nghệ 24 H 0962353362 thanh liệt thanh trì hà nội Lê Thanh 0903522678 phường Trường Chinh Tp Kon Tum",Tốt
"Chuyên nghiệp, thân thiện. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Chất lượng tuyệt vời. Đóng gói kỹ lưỡng. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
Giá tốt. Giao hàng nhanh bất ngờ. Giống như mô tả,Tốt
ok đấy ,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. ",Tốt
Chất lượng cần tốt hơn. sản phẩm tạm được.,Xấu
Chất lượng tuyệt vời. ,Tốt
Đẹp như mô tả. ,Tốt
Đẹp như mô tả. ,Tốt
Chất lượng tuyệt vời. rất ok cảm ơn shop,Tốt
Giá hợp lý. ,Tốt
Chất lượng tuyệt vời. Giao hàng nhanh bất ngờ. OK ,Tốt
Chất lượng tuyệt vời. ,Tốt
Giá tốt. ,Tốt
"Chuyên nghiệp, thân thiện. Đóng gói kỹ lưỡng. ",Tốt
10 viên có 1 viên không kí hiệu và mã j hết. hy vọng shop rút kinh nghiệm lần sau ,Bình thường
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. hàng xinh wa sá luon ....giá rất ok....tăng shop 5sao nak",Tốt
"Chuyên nghiệp, thân thiện. ",Tốt
Đẹp như mô tả. Chất lượng tuyệt vời. ,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. ",Tốt
"giao hang ko dung, thieu do nhan tin ko tra loi luon.qua that vong mua cung may lan roi",Xấu
Giá tốt. ,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
Giá tốt. Giao hàng nhanh bất ngờ. ,Tốt
Đẹp như mô tả. ,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ?",Tốt
Đẹp như mô tả. ,Tốt
Giá đắt. Chất lượng cần tốt hơn. Giao hàng cần nhanh hơn. Cần đúng với mô tả. Shop cần thân thiện hơn. Nên đóng gói kỹ hơn. ,Xấu
Đóng gói kỹ lưỡng. Giá tốt. Giao hàng nhanh bất ngờ. ,Tốt
Cần đúng với mô tả. ,Xấu
"Chuyên nghiệp, thân thiện. ",Tốt
Giao hàng nhanh bất ngờ. ,Tốt
Đóng gói kỹ lưỡng. ,Tốt
Chất lượng tuyệt vời. ,Tốt
Hàng đúng chất lượng,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
Shop làm ăn gian dối. Đây không phải giỏ mà là cái túi thôi nhé. Nhưng n mỏng manh và dễ rách cực kỳ. Mình nt muốn hoàn trả nh k phản hồi,Xấu
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Giao hàng nhanh bất ngờ. ok tốt",Tốt
Đẹp như mô tả. nó bự quá định mua loại vừa thôi ,Tốt
Chất lượng cần tốt hơn. Hàng vải quá mỏng chất lượng quá thấp ,Xấu
"Hàng chất lượng quá kém,k nhiw mô tả",Tốt
"Hàng y hình nhưng mỏng ạ,dày 1 chút nữa là ok hơn ạ!",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ok",Tốt
"chất vải xấu, quai vừa động vào đã đứt 
",Xấu
"Cần đúng với mô tả. hình ảnh đăng bán và hình ảnh thiệt khác xa, mọi người nên cân nhắc trước khi mua",Xấu
Chất lượng ổn. Đúng mô tả. Đóng gói kỹ. giỏ hơi mỏng manh tí  nhưng tam ổn mua được ,Bình thường
"Đẹp như mô tả. Chất lượng tuyệt vời. Giá tốt. Sản phẩm túi chất lượng kích thước như mô tả.  Túi đứng thành 1 hộp khi túi còn rỗng và đóng khóa kéo lại (Vì chất liệu là vải không dệt), đủ dày để túi đứng thẳng khi rỗng. Không như loại túi làm bằng nhựa mỏng lét, ngã lên ngã xuống nha. Tuyệt vời, giá khoảng 22-23k cái luôn ship đến SG (nếu tổng giá trị đơn hàng theo tiêu chuẩn Sendo).",Tốt
"Đặt hàng 04 giỏ, bận đi làm nhờ người nhà nhận hộ Trưa về mở ra có 03 giỏ Làm ăn kiểu này mau giàu lắm HÃY ĐỢI ĐẤY",Tốt
vải quá mỏng ,Bình thường
"Chuyên nghiệp, thân thiện. Đóng gói kỹ lưỡng. Giao hàng nhanh bất ngờ. ",Tốt
Giao hàng nhanh bất ngờ. rất tiện dùng để chứa ,Tốt
giỏ đựng ko khung ,Tốt
Không giống với mô tả nó chỉ như một cái túi không có nắp đậy .... đừng mua m.n ơi phí tiền,Xấu
"Giỏ to đựng được nhiều đồ, chất lượng phù hợp với giá cả, dùng để đựng mùng, mền, gối ... tạm ổn",Tốt
Shop giao hàng k đúng mô tả..nhận hàng k hài lòng chút nào….cầu cho shop mua may bán đắc,Xấu
giao hàng thân thiện vui vẻ shop giao đúng hẹn tặng shop 5 sao ,Tốt
Áo hơi mỏng ,Tốt
Chất lượng tuyệt vời. ,Tốt
hàng chẩn nhưng hơi lâu,Tốt
Chuyên nghiệp. Đóng gói kỹ. Đúng mô tả. Giao hàng nhanh. ,Tốt
Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. Tuyet voi binh san cam lam dang mua,Tốt
"Đẹp như mô tả. Đóng gói kỹ lưỡng. Giá tốt. hàng nhìn thấy đẹp điện chuẩn còn chất lượng thì phải thời gian dài mới biết được
",Tốt
"Chuyên nghiệp, thân thiện. ",Tốt
Đóng gói kỹ. Đúng mô tả. Giá hợp lý. Giao hàng nhanh. đã nhận được hàng đang sử dụng ,Tốt
"máy gì mới giao xài có hai ba ngày đã hư ( mua hai cái dều như nhau ) 
CẠCH MẶT XỐP BÁN ĐỒ ĐIỂU
",Tốt
"HY VỌNG TỪ NAY SHOP HÃY BÁN HÀNG, SẢN PHẨM ĐÚNG HÌNH ẢNH VIDEO CLIP ĐĂNG QUẢNG CÁO ĐẾN TAY KHÁCH HÀNG, MẶC DÙ SHOP CÓ ĐỔI CÁI KHÁC NHƯNG VẪN KHÔNG ĐÚNG NHƯ SHOP ĐĂNG BÁN TRÊN SHOP SEN ĐỎ THANKS ",Tốt
Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. hình ảnh mang tính minh họa  hàng chất sẽ ủng hộ tiếp tục mua làm quà cho các cụ khổi chê,Tốt
Đẹp như mô tả. Đóng gói kỹ lưỡng. Giá tốt. đẹp như mô tả đóng gói kỹ lưỡng giá tốt máy tes thử chạy tốt lâu dài chưa biết ,Tốt
"Chất lượng tuyệt vời. 
cho shop5sao.giao hàng ok",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. mình mua 2 lần 4 cái rồi quá ok",Tốt
"Đóng gói kỹ. Đúng mô tả. Giá hợp lý. Giao hàng nhanh. máy  chạy  đặt  màu  bạc  giao  màu  đỏ  
",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Giá tốt. Đã mua và dùng mấy ngày thấy khá ổn độ bền chờ thời gian trả lời.  Hôm nay tiếp tục mua ủng hộ shop cái nữa. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Giá tốt. Đã mua và dùng mấy ngày thấy khá ổn độ bền chờ thời gian trả lời.  Hôm nay tiếp tục mua ủng hộ shop cái nữa. ",Tốt
"032242Cho con dâu 5 triệu đi du lịch, nhìn món quà con mang về tôi bắt xe về quê luôn

Cẩm Tú - Ngày 08/07/2023, 09:36

",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. quá tuyệt vời. giá rẻ mà dùng rất tốt ",Tốt
Chất lượng kém!,Xấu
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đóng gói kỹ lưỡng. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Chất lượng tuyệt vời. Đóng gói kỹ lưỡng. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. wwwooaaaa TOẸT VỜI..!!!",Tốt
Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. bật chồi rất rốt,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
Đẹp như mô tả. ,Tốt
"Chuyên nghiệp, thân thiện. Đóng gói kỹ lưỡng. ",Tốt
Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. ,Tốt
Đẹp như mô tả. Đóng gói kỹ lưỡng. Giá tốt. Giao hàng nhanh bất ngờ. ,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
Dong goi cân than nhung giao hang cham,Tốt
Đẹp như mô tả. Chất lượng tuyệt vời. ,Tốt
Đẹp như mô tả. ,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. hàng  đúng  yêu  cầu ",Tốt
Đẹp như mô tả. Đóng gói kỹ lưỡng. ,Tốt
Sản phẩm/dịch vụ hoàn toàn khác mô tả. san pham đung mo ta ,Xấu
"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình. ",Tốt
"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình. ",Tốt
"đóng hàng kỹ chắc chắn,shop phục vụ khách hàng rất nhiệt tình",Tốt
Shop phục vụ chấp nhận được. ,Bình thường
Giao sản phẩm/vé dịch vụ nhanh. Shop phục vụ chấp nhận được. ,Bình thường
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
Đẹp như mô tả. ,Tốt
"Chuyên nghiệp, thân thiện. Đóng gói kỹ lưỡng. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
Shop cần thân thiện hơn. đặt màu này mà giao màu kìa ko đúng với màu đặt ,Xấu
"kiếm tra trong thùng có 29 gói,không đủ 30 gói,lần sau đóng hàng thì cẩn thận hơn kiểm tra cho sổ lượng rồi hãy gửi hàng. 
",Tốt
Giá tốt. ,Tốt
Đẹp như mô tả. Giao hàng nhanh bất ngờ. ,Tốt
Chất lượng tuyệt vời. ,Tốt
"Chuyên nghiệp, thân thiện. Đóng gói kỹ lưỡng. ",Tốt
mỏng lét ko nên mua,Xấu
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
để lộ thông tin cá nhân của khách hàng.  tôi bị gọi làm phiền.,Xấu
Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Giá tốt. Giao hàng nhanh bất ngờ. Khẩu trang đẹp.",Tốt
Chất lượng tuyệt vời. Giá tốt. ,Tốt
Giao hàng tạm ổn. Đóng gói kỹ. khẩu  trang  mỏng  wa  ,Bình thường
"chuột ko chết ngay mà về sau mới chết, thối khắp quanh nhà ",Bình thường
Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. ,Tốt
Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ,Tốt
Hàng bị bể ,Tốt
giao hàng lâu quá nhận được hàng rồi ,Tốt
nhin thi ok ma thay qua nhe va mong ko biet sai co ben ko ,Tốt
"Chất lượng cần tốt hơn. Hàng không chất lượng, lỗi",Xấu
"hàng  lỗi  không  giải quyết, shop  này  không  uy tín ",Xấu
trước mắt sản phẩm đúng như mô tả. độ bền phải qua thời gian sử dụng,Tốt
hang dung nhu mo ta nhan vien giao hang khong cho xem hang,Tốt
"hình thức ngoại quan đẹp, nhận hàng thì hỏng nút số,chưa ưng lắm ",Bình thường
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
Chất lượng tuyệt vời. Giá tốt. ok,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. rẻ và chất lượng, ",Tốt
"NỒI LẨU TO Y HÌNH, TÔI RẤT VỪA Ý . CẢM ƠN SHOP NHIỀU NHÉ ?.
",Tốt
"Giao hàng nhanh bất ngờ. Đóng gói kỹ lưỡng. Giá tốt. Nồi trông giống hình, độ bền chưa kiểm chứng",Tốt
"rất kém
Mọi người lên cân nhắc trc khi mua
",Xấu
hàng giao rất tệ bể hư kg xài được shops cầ cải thiện lại trong việc kiểm tra hàng trứớc khi giao,Xấu
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Giá tốt. Giao hàng nhanh bất ngờ. chất lượng dùng mới biết đc để đánh giá sau ",Tốt
Đẹp như mô tả. Đóng gói kỹ lưỡng. gióng hình chưa sài chưa biết chất lượng nhưng vẫn cho năm sao nhé,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. hang dung mo ta dung tot tang shop 5sao",Tốt
đóng gói cực kỳ kỹ lưỡng. thích nhất điều này. chắc sản phẩm sẽ k đến nổi tệ. cảm ơn Shop,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Giá tốt. sản phẩm y hình, chất lượng thì phải dùng mới biết có tốt ko, tặng shop 5 sao nhé.hy vọng shop ngày càng nâng cao chất lượng sản phẩm tốt 
",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. Chất lượng tốt, sản phẩm đẹp như hình, đóng gói cẩn thận, giá cả gợp lý",Tốt
Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. ,Tốt
Chất lượng tuyệt vời. ,Tốt
"đc OK giá rẻ mà Sài với motto650w hơi nóng ko biết bền ko
",Tốt
đóng gói có mốt chống sốc rất oke,Tốt
"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình. ok",Tốt
Đóng gói kỹ lưỡng. Giá tốt. Date xa Sẽ ủng hộ shop tiếp,Tốt
tuyệt vời rất chuẩn ,Tốt
rất ok,Tốt
"
mẫu mới nhưng hoàn toàn hài lòng ",Tốt
Đóng gói kỹ lưỡng. ,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
Chất lượng tuyệt vời. Giá tốt. ,Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Giá tốt. Giao hàng nhanh bất ngờ. ",Tốt
"Chuyên nghiệp, thân thiện. Đóng gói kỹ lưỡng. Giá tốt. ",Tốt
"Shop giao hang ko dung chat luong , binh bi vỡ ma giao hang … nt rieng cho shop giai quyet thi ko tra loi . ",Xấu
tiền nào của đó đúng như ông bà nói ,Bình thường
"đặt màu vàng, nhưng giao màu trắng. inox 316 nhưng bên trong lại ri sét xung quanh thành. hàng giả mạo, không đúng chất lượng như mô tả. đành chịu bỏ đi vì không kiếm tra kỹ. ",Xấu
"đặt hàng màu đen giao màu xanh dương, đợt trước thấy bình chất lượng nên mua thêm 1 cái nữa , không ngờ tệ , 4 sao thôi ",Tốt
Chưa chuyên nghiệp. ,Bình thường
"Giá hợp lý. Đóng gói sơ sài,bị vỡ nắp",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Giá tốt. Giao hàng nhanh bất ngờ. giao hàng rất nhanh. Đóng gói sản phẩm chắc chắn. giá tốt. Chất lượng chưa sử dụng nên chưa đánh giá đc. cảm thấy hài lòng. ",Tốt
"Chất lượng tuyệt vời. Giá tốt. OK 
",Tốt
Đẹp như mô tả. tốt ,Tốt
"buôn bán lừa đảo giữ được có hai tiếng mọi người nên tránh mua hàng của sop nầy nhé,xa chứ gần đem vụt vô mặc tụi lừa đảo đó",Tốt
"Cần đúng với mô tả. Mình mua bình giữ nhiệt xài không giữ nhiệt, mình nhắn tin báo shop không thấy trả lời",Xấu
bình cho nuoc nong vao thì cầm nóng tay.cho nuoc đá vào thì thấy ra mồ hôi ngoài bình.,Tốt
Nên đóng gói kỹ hơn. hàng hư vo hết trơn mak gửi về vậy shop  ,Xấu
"hàng đẹp, 2 cái mà sao cái lớn cái nhỏ vậy shop",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. của hàng này OK nhé mọi người ",Tốt
Nhận hàng về bị vỡ nắp đóng hàng sơ sài ,Xấu
"Cần đúng với mô tả. xin nhờ shop đối cái khác vì giao cái nắp bể rồi
",Xấu
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. chất lượng khá tốt giá cả hợp lý đáng để mua ",Tốt
"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. Sản phẩm đúng như mô tả, rất ok! Người dùng nên chọn mua!",Tốt
